created_at,suburb,time,status,location,area,Minimum Temperature,Maximum Temperature,Rainfall,Evaporation,Sunshine,Direction Max Wind Gust,Speed Max Wind Gust,Time Max Wind Gust
2023-12-22 20:07:21+00:00,Gidgegannup,4:07:00,ADVICE,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,18.5,32.8,0.0,12.6,12.6,W,30,11:31
2023-12-29 02:30:51+00:00,Gidgegannup,10:30:00,ADVICE,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,17.7,33.0,0.0,10.2,11.0,ESE,56,2:49
2023-12-25 02:59:08+00:00,Gidgegannup,10:59:00,ADVICE,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,19.5,38.8,0.0,9.4,12.0,WSW,33,13:52
2023-12-25 07:02:09+00:00,Gidgegannup,15:02:00,ADVICE,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,19.5,38.8,0.0,9.4,12.0,WSW,33,13:52
2023-12-23 02:18:20+00:00,Gidgegannup,10:18:00,ADVICE,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,15.9,35.4,0.0,8.4,13.1,ESE,39,21:50
2023-12-23 07:24:23+00:00,Gidgegannup,15:24:00,ADVICE,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,15.9,35.4,0.0,8.4,13.1,ESE,39,21:50
2023-12-24 03:06:31+00:00,Gidgegannup,11:06:00,ADVICE,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,16.6,36.2,0.0,12.8,12.4,SSE,52,1:33
2023-12-24 08:20:14+00:00,Gidgegannup,16:20:00,ADVICE,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,16.6,36.2,0.0,12.8,12.4,SSE,52,1:33
2023-12-28 01:45:12+00:00,Gidgegannup,9:45:00,ADVICE,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,18.0,30.5,0.0,9.2,11.4,ESE,59,22:57
2023-12-28 07:24:22+00:00,Gidgegannup,15:24:00,ADVICE,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,18.0,30.5,0.0,9.2,11.4,ESE,59,22:57
2023-12-26 02:50:10+00:00,Gidgegannup,10:50:00,ADVICE,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,20.2,28.6,0.0,10.6,9.5,SW,33,15:22
2023-12-26 08:47:00+00:00,Gidgegannup,16:46:00,ADVICE,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,20.2,28.6,0.0,10.6,9.5,SW,33,15:22
2023-12-27 02:36:44+00:00,Gidgegannup,10:36:00,ADVICE,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,16.9,28.2,0.0,8.4,12.7,SSW,37,14:04
2023-12-27 07:18:30+00:00,Gidgegannup,15:18:00,ADVICE,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,16.9,28.2,0.0,8.4,12.7,SSW,37,14:04
2024-01-15 02:56:01+00:00,Gnangara,10:56:00,BURNT,Gnangara-Moore River State Forest near Pinjar,CITY OF WANNEROO and SHIRE OF CHITTERING,22.3,34.4,0.0,11.0,12.1,WSW,26.0,13:42
2024-01-22 06:35:24+00:00,Gnangara,14:35:00,ADVICE,MUCHEA and PINJAR,SHIRE OF CHITTERING and CITY OF WANNEROO,15.9,28.0,0.0,10.2,13.1,SSW,41.0,15:26
2024-01-13 04:25:28+00:00,Gnangara,12:25:00,ADVICE,Gnangara-Moore River State Forest near Pinjar,CITY OF WANNEROO and SHIRE OF CHITTERING,23.2,40.7,1.8,11.0,11.3,E,33.0,0:41
2024-01-13 07:34:48+00:00,Gnangara,15:34:00,ADVICE,Gnangara-Moore River State Forest near Pinjar,CITY OF WANNEROO and SHIRE OF CHITTERING,23.2,40.7,1.8,11.0,11.3,E,33.0,0:41
2024-01-14 02:05:19+00:00,Gnangara,10:05:00,ADVICE,Gnangara-Moore River State Forest near Pinjar,CITY OF WANNEROO and SHIRE OF CHITTERING,23.3,36.6,0.0,11.2,12.7,SW,24.0,10:21
